Time, Freq(Hz), Amp_baseline(dB), Amp_Hit(dB)
1544120771.498674,150500000,0.000638871109499,150.397460935
1544120908.853808,150380000,0.000768711592782,150.397578125
1544120938.7827756,150380000,0.000772110603131,150.397578125
1544120962.7886117,150500000,0.000730272536036,150.397460935
1544120980.8280303,150380000,0.000823212446475,150.397578125
1544121028.5737731,150000000,0.000621318439706,150.397460948
1544121034.8596632,150000000,0.000575644719461,150.399414073
1544121040.5440557,150500000,0.000725806031469,150.397460935
1544121130.6168745,150000000,0.00068424027362,150.398437511
1544121142.3618515,150000000,0.000598727639339,150.396484386
1544121232.0697474,150380000,0.000650338990632,150.395625
1544121238.3522472,150000000,0.000565462160943,150.397460948
1544121244.180686,150500000,0.000733136113549,150.396484372
1544121303.877798,150500000,0.000687549315939,150.398437497
1544121327.8739898,150500000,0.000647393762713,150.398437497
1544121352.0716512,150500000,0.000731262112812,150.39941406
1544121387.9928067,150380000,0.000743912443704,150.396601563
1544121393.897548,160000000,0.000699815354092,159.897460935
1544121417.9109554,150500000,0.000639619573631,150.398437497
1544121453.5726442,150000000,0.00055105770471,150.398437511
1544121549.2827475,150500000,0.000579043514529,150.396484372
1544121561.2711272,150380000,0.00069949487904,150.397578125
1544121591.4863205,150500000,0.000602050441417,150.397460935
1544121633.2364385,150000000,0.000500838529071,150.397460948
1544121645.1231577,150000000,0.000502020726133,150.397460948
1544121698.971867,150000000,0.000264507636924,150.398437511
